County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Albany,Animal,Birds,Wrens,Cistothorus platensis,Sedge Wren,1991,Threatened,not listed,S3B,G5,Recently Confirmed
Albany,Animal,Mammals,Rodents,Neotoma magister,Allegheny Woodrat,not available,Endangered,not listed,S1,G3G4,Extirpated
Albany,Plant,Flowering Plants,Grasses,Cenchrus tribuloides,Dune Sandspur,1890,Threatened,not listed,S2,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Orchids,Liparis liliifolia,Large Twayblade,1932,Endangered,not listed,S1,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Angelica venenosa,Hairy Angelica,not available,Rare,not listed,S1,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Blephilia ciliata,Downy Wood Mint,1998,Endangered,not listed,S1,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Cardamine douglassii,Purple Cress,not available,Threatened,not listed,S2S3,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Desmodium ciliare,Little-leaf Tick Trefoil,1910,Threatened,not listed,S2S3,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Lycopus rubellus,Stalked Bugleweed,not available,Endangered,not listed,S1,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Schwalbea americana,Chaffseed,1865,not listed,Endangered,SX,G2G3,Extirpated
Albany,Plant,Flowering Plants,Sedges,Carex davisii,Davis' Sedge,1997,Threatened,not listed,S2,G4,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex haydenii,Cloud Sedge,1926,Endangered,not listed,S1S2,G5,Historically Confirmed
Bronx,Plant,Flowering Plants,Other Flowering Plants,Atriplex dioica,Thickleaf Orach,1899,Endangered,not listed,S1,G5,Historically Confirmed
Bronx,Plant,Flowering Plants,Other Flowering Plants,Chamaelirium luteum,Fairywand,not available,Endangered,not listed,S1S2,G5,Extirpated
Bronx,Plant,Flowering Plants,Other Flowering Plants,Desmodium ciliare,Little-leaf Tick Trefoil,1898,Threatened,not listed,S2S3,G5,Historically Confirmed
Bronx,Plant,Flowering Plants,Other Flowering Plants,Euonymus americanus,American Strawberry Bush,not available,Endangered,not listed,S1,G5,Historically Confirmed
Bronx,Plant,Flowering Plants,Other Flowering Plants,Physalis virginiana var. virginiana,Virginia Ground Cherry,1932,Endangered,not listed,SH,G5T5,Possible but not Confirmed
Bronx,Plant,Flowering Plants,Other Flowering Plants,Plantago cordata,Heart-leaved Plantain,1894,Rare,not listed,S3,G4,Historically Confirmed
Bronx,Plant,Flowering Plants,Other Flowering Plants,Polygonum tenue,Slender Knotweed,not available,Rare,not listed,S3,G5,Historically Confirmed
Bronx,Plant,Flowering Plants,Other Flowering Plants,Salicornia bigelovii,Dwarf Glasswort,1946,Threatened,not listed,S2S3,G5,Historically Confirmed
Bronx,Plant,Flowering Plants,Other Flowering Plants,Suaeda linearis,Narrow-leaf Sea Blite,not available,Endangered,not listed,S1S2,G5,Historically Confirmed
Bronx,Plant,Flowering Plants,Rushes,Juncus subcaudatus,Spreading Rush,not available,Endangered,not listed,S1,G5,Historically Confirmed
Bronx,Plant,Flowering Plants,Sedges,Carex emmonsii,Emmons' Sedge,not available,Rare,not listed,S3,G5T5,Historically Confirmed
Bronx,Plant,Flowering Plants,Sedges,Cyperus echinatus,Globose Flatsedge,1991,Endangered,not listed,S1,G5,Recently Confirmed
Broome,Plant,Flowering Plants,Other Flowering Plants,Hypericum ascyron ssp. pyramidatum,Great St. John's Wort,not available,Rare,not listed,S3,G4T4,Historically Confirmed
Cattaraugus,Animal,Fish,Darters and Sunfishes,Percina macrocephala,Longhead Darter,1999,Threatened,not listed,S2,G3,Recently Confirmed
Cattaraugus,Plant,Ferns and Fern Allies,Ferns,Botrychium oneidense,Blunt-lobe Grape Fern,2009,Threatened,not listed,S2S3,G4,Recently Confirmed
Cattaraugus,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Smallanthus uvedalia,Bear's Foot,1931,Endangered,not listed,SH,G4G5,Historically Confirmed
Cattaraugus,Plant,Flowering Plants,Grasses,Sphenopholis obtusata,Prairie Wedgegrass,1934,Endangered,not listed,S1,G5,Possible but not Confirmed
